225,142,284,238,3,237,200,34,22347
20,147,50,263,329,5,218,250,18583
288,201,92,165,0,120,170,185,14867
193,188,132,73,295,5,218,250,13424
103,142,97,51,53,5,218,250,12344
78,352,67,91,177,237,200,34,11141
188,196,18,70,224,251,252,252,10738
93,202,55,72,274,5,218,250,10348
289,209,59,64,215,120,170,185,10196
192,261,46,61,83,251,252,252,9613
101,99,38,40,18,5,218,250,9419
0,70,15,60,118,237,200,34,9217
328,124,21,61,332,5,218,250,8979
373,133,42,50,15,5,218,250,8593
230,259,20,49,248,5,218,250,8249
399,370,35,29,25,237,200,34,8041
19,24,22,37,204,237,200,34,7993
5,112,47,4,187,237,200,34,7910
147,116,38,27,141,5,218,250,7568
30,288,25,46,154,237,200,34,7423
211,174,50,38,260,251,252,252,7215
377,274,35,25,137,237,200,34,7057
347,152,26,7,330,120,170,185,7038
315,290,22,37,183,120,170,185,6937
31,67,40,41,104,237,200,34,6809
158,101,17,33,163,5,218,250,6772
45,216,34,29,32,5,218,250,6579
216,125,14,24,316,5,218,250,6552
360,395,29,25,325,237,200,34,6430
296,67,39,37,239,237,200,34,6343
347,173,42,24,53,120,170,185,6249
260,174,12,36,321,5,218,250,6179
285,177,23,17,39,120,170,185,6137
122,247,31,37,316,5,218,250,6072
181,183,24,41,3,251,252,252,6001
276,291,17,39,16,120,170,185,5920
231,135,13,16,295,5,218,250,5901
302,294,9,40,297,120,170,185,5873
186,332,30,18,119,237,200,34,5832
370,294,26,35,82,237,200,34,5812
395,88,24,10,214,251,252,252,5748
17,126,7,4,165,21,30,25,5735
7,277,34,34,267,237,200,34,5702
108,272,11,8,195,5,218,250,5681
1,157,10,40,72,237,200,34,5596
185,87,8,36,344,21,30,25,5563
291,309,21,29,200,120,170,185,5541
204,102,21,24,155,5,218,250,5513
83,259,14,37,343,5,218,250,5475
227,128,32,22,45,5,218,250,5455
124,263,29,35,201,5,218,250,5440
32,390,32,31,14,237,200,34,5424
170,106,20,35,120,5,218,250,5404
253,154,5,21,345,5,218,250,5393
146,93,19,22,144,5,218,250,5377
247,211,29,6,173,5,218,250,5332
8,1,19,16,222,237,200,34,5314
363,127,17,15,235,5,218,250,5299
264,95,4,18,345,120,170,185,5275
64,108,34,21,82,5,218,250,5254
212,88,34,9,58,21,30,25,5212
223,109,10,8,356,5,218,250,5212
10,315,18,24,335,237,200,34,5211
351,241,8,25,322,120,170,185,5201
283,335,18,15,225,237,200,34,5171
164,263,9,19,313,251,252,252,5146
19,392,35,24,45,237,200,34,5143
134,285,21,1,35,5,218,250,5135
396,70,9,23,85,251,252,252,5115
397,173,12,8,318,5,218,250,5099
235,301,1,27,163,21,30,25,5085
206,320,33,14,102,237,200,34,5082
174,333,22,33,332,237,200,34,5072
3,196,15,7,309,237,200,34,5060
163,269,19,21,343,251,252,252,5041
132,71,8,5,80,21,30,25,5037
131,284,7,18,146,5,218,250,5026
265,198,20,11,159,120,170,185,5017
189,311,3,3,16,251,252,252,5013
350,316,28,24,16,237,200,34,4991
3,101,20,31,340,237,200,34,4972
266,155,10,24,40,5,218,250,4958
0,113,20,14,240,237,200,34,4952
69,54,16,31,163,237,200,34,4930
374,162,4,2,43,21,30,25,4921
141,232,2,27,355,5,218,250,4912
183,104,1,12,28,21,30,25,4903
244,151,15,16,200,5,218,250,4902
88,48,26,25,273,237,200,34,4894
262,106,20,25,261,5,218,250,4849
369,227,33,19,347,120,170,185,4840
366,120,28,8,325,5,218,250,4835
399,209,8,7,326,5,218,250,4830
231,71,17,24,61,237,200,34,4822
330,156,12,29,157,120,170,185,4819
244,185,11,2,20,21,30,25,4798
108,311,27,14,202,237,200,34,4788
19,92,10,23,3,237,200,34,4782
168,54,28,26,5,237,200,34,4758
223,213,6,17,282,251,252,252,4751
182,282,25,29,208,251,252,252,4731
101,313,33,27,191,237,200,34,4727
151,226,3,19,279,120,170,185,4713
133,252,14,21,93,5,218,250,4705
321,103,3,10,360,21,30,25,4687
208,240,6,5,110,5,218,250,4683
198,178,21,32,255,251,252,252,4681
400,31,26,27,251,237,200,34,4674
241,288,15,12,341,5,218,250,4664
191,299,16,21,200,251,252,252,4644
291,322,29,1,258,21,30,25,4608
356,261,17,10,159,120,170,185,4604
49,172,18,17,356,5,218,250,4603
63,171,30,15,8,5,218,250,4603
57,229,21,30,163,5,218,250,4603
1,180,24,2,221,237,200,34,4600
174,177,20,25,304,251,252,252,4591
137,229,9,21,200,5,218,250,4587
287,204,5,31,334,120,170,185,4584
217,126,5,25,216,5,218,250,4577
353,125,21,17,179,5,218,250,4574
332,391,12,15,183,237,200,34,4573
125,67,28,0,274,237,200,34,4571
265,285,16,21,39,120,170,185,4565
207,209,26,24,263,251,252,252,4559
237,325,9,22,93,237,200,34,4560
373,119,4,31,151,5,218,250,4560
340,122,19,21,265,5,218,250,4559
29,181,12,29,239,5,218,250,4553
147,140,19,28,241,5,218,250,4552
127,142,15,31,34,5,218,250,4552
71,138,22,25,315,5,218,250,4552
75,98,15,22,117,5,218,250,4546
69,159,26,31,49,5,218,250,4544
100,231,28,22,235,5,218,250,4545
233,134,12,23,271,5,218,250,4545
121,60,5,24,170,237,200,34,4539
246,133,31,10,200,5,218,250,4536
114,120,20,27,60,5,218,250,4535
237,326,25,23,351,237,200,34,4530
193,100,4,2,108,5,218,250,4527
196,71,27,10,109,237,200,34,4524
4,233,4,22,109,237,200,34,4521
384,105,19,8,5,5,218,250,4514
254,103,29,1,199,21,30,25,4509
172,193,14,30,210,251,252,252,4504
196,315,5,0,323,21,30,25,4503
68,270,0,19,170,21,30,25,4502
277,332,25,3,231,237,200,34,4498
251,138,21,12,127,5,218,250,4492
198,215,27,20,15,251,252,252,4488
392,116,29,13,64,5,218,250,4487
67,242,5,30,196,5,218,250,4484
102,67,16,0,108,21,30,25,4480
128,187,20,24,108,5,218,250,4468
211,89,23,2,38,21,30,25,4464
248,64,30,16,330,237,200,34,4460
283,108,8,6,30,21,30,25,4457
96,67,18,1,279,21,30,25,4445
175,241,3,11,328,120,170,185,4432
83,199,23,28,230,5,218,250,4431
299,273,9,28,337,120,170,185,4432
128,230,15,26,338,5,218,250,4430
118,134,18,29,204,5,218,250,4429
214,97,12,10,232,21,30,25,4426
182,123,12,20,131,5,218,250,4425
133,80,14,5,109,5,218,250,4423
376,252,11,0,303,21,30,25,4419
4,260,27,18,126,237,200,34,4418
225,125,28,24,213,5,218,250,4409
9,181,3,8,245,21,30,25,4400
27,122,9,7,100,21,30,25,4387
191,273,2,1,146,5,218,250,4386
1,158,3,12,119,21,30,25,4380
260,121,24,1,345,5,218,250,4379
3,250,23,19,293,237,200,34,4377
324,86,9,16,231,237,200,34,4374
84,217,15,28,139,5,218,250,4372
17,97,5,8,213,237,200,34,4373
273,111,23,8,349,5,218,250,4362
41,171,22,15,10,5,218,250,4361
183,131,11,11,215,5,218,250,4359
147,211,2,16,276,21,30,25,4349
98,229,12,5,171,5,218,250,4349
34,88,15,5,168,237,200,34,4348
101,233,22,28,200,5,218,250,4347
170,122,28,11,251,5,218,250,4347
87,98,24,22,191,5,218,250,4347
188,127,14,29,165,5,218,250,4346
100,212,25,17,258,5,218,250,4344
338,109,7,13,32,5,218,250,4345
107,246,29,19,186,5,218,250,4344
19,131,8,7,97,21,30,25,4338
245,92,9,2,148,21,30,25,4324
3,113,25,0,73,237,200,34,4322
389,112,22,13,208,5,218,250,4321
249,284,8,1,318,21,30,25,4318
14,104,13,19,126,237,200,34,4317
121,190,24,21,170,5,218,250,4316
397,72,8,16,81,251,252,252,4315
